mreza,n,m,gustina,prosj_stepen,prosj_klaster,komponente,najveca_komp,prosj_put,dijametar
rivalry_gap1,823,5118,0.0151,12.44,0.3274,1,823,4.396,13
rivalry_gap2,825,7446,0.0219,18.05,0.572,1,825,3.87,10
rivalry_gap3,825,9142,0.0269,22.16,0.6322,1,825,3.611,9
