mreza,n,m,gustina,prosj_stepen,prosj_klaster,komponente,najveca_komp,prosj_put,dijametar
rivalry_gap2_1949-1959,104,431,0.0805,8.29,0.6239,1,104,2.577,5
rivalry_gap2_1960-1969,152,621,0.0541,8.17,0.5891,1,152,2.94,8
rivalry_gap2_1970-1979,227,1273,0.0496,11.22,0.5124,1,227,2.762,7
rivalry_gap2_1980-1989,185,1595,0.0937,17.24,0.5478,1,185,2.374,5
rivalry_gap2_1990-1999,171,1531,0.1053,17.91,0.615,1,171,2.343,5
rivalry_gap2_2000-2009,97,1025,0.2201,21.13,0.6969,1,97,1.93,4
rivalry_gap2_2010-2025,111,1371,0.2246,24.7,0.7462,1,111,1.997,4
