node,community
Brett Hudson,1
Henk Van Der Mark,1
Christian Le Liard,1
Manfred Fischer,1
Dave Petersen,1
maurice Coq,1
Claude Arciero,1
Marco Gentile,2
Hervi Moineau,2
Karl Truchsess,1
Josef Doppler,2
Paul Lewis,1
Maarten Duyzers,2
Mike Grant,1
Simon Buckmaster,2
Mile Pajic,1
Roger Marshall,1
Roger Burnett,2
Peter Linden,2
Anders Anderson,2
Alessandro Valesi,2
Massimo Messere,1
Sito Pons,1
Mike Baldwin,1
Thierry Espié,1
Tadahiko Taira,2
Andy Leuthe,2
Armando Errico,1
Niel Robinson,1
Antonio Perez,1
Pierfrancesco Chili,2
Juan Garriga,2
Fabio Barchitta,2
Dietmar Mayer,2
Masaru Mizutani,1
Steve Manley,2
Helmut Schutz,2
Niall Mackenzie,2
Kenny Irons,2
Shunji Yatsushiro,2
Kevin Schwantz,2
Thierry Rapicault,2
Daniel Amatriain,2
Tony Carey,2
Richard Scott,2
Donnie Mcleod,2
Gerold Fisher,2
Vittorio Scatola,2
Rachel Nicotte,2
Joey Dunlop,2
Vincenzo Cascino,2
Romolo Balbi,2
Kevin Magee,2
Niggi Schmassman,2
Wayne Rainey,2
Patrick Igoa,2
Alberto Rota,2
Peter Schleef,2
Michael Rudroff,2
Eddie Laycock,2
Cees Doorakkers,2
Johan Ten Napel,2
Norihiko Fujiwara,2
Lars Johansson,2
Shinji Katayama,2
Dominique Sarron,2
Fernando Gonzalez,2
Shinichi Ito,7
Juan Lopez Mella,2
Claude Albert,2
Hansjörg Butz,2
Michele Valdo,2
Martin Trösch,2
F. Beck,2
Alois Meyer,2
Fred Merkel,2
Peter Graves,2
Dario Marchetti,2
Osamu Hiwatashi,2
Alex Barros,7
Mick Doohan,2
Jean Philippe Ruggia,2
Carl Fogarty,2
John Kocinski,2
Tasuro Arata,2
Keiichiro Iwahashi,2
Doug Chandler,2
Adrien Morillas,2
Peter Goddard,7
Toshihiko Honma,2
Kunio Machii,2
Satoshi Tsujimoto,6
Hikaru Miyagi,6
Rich Oliver,2
Robbie Petersen,2
Hans Becker,2
Corrado Catalano,2
Keiji Ohishi,2
Alex Criville,7
Miguel Duhamel,2
Thierry Crine,2
Toshi Arakaki,2
Serge David,2
Kevin Mitchell,2
Daryl Beattie,2
Lucio Pedercini,2
Andrew Stroud,2
Bruno Bonhuil,2
Russell Wood,2
Mike Wilson,2
Laurent Naveau,2
Bernard Garcia,2
Jose Kuhn,2
Tsumoto Udagawa,2
Sean Emmett,2
Renzo Colleoni,2
Andreas Meklau,2
Jean Luc Romanens,2
Allan Scott,2
Jehan D'orgeix,2
John Reynolds,2
Simon Crafar,7
Jeremy Mcwilliams,2
Matt Mladin,2
Luca Cadalora,2
David Jefferies,2
Jean-Marc Deletang,2
Jean Pierre Jeandat,2
Marc2 Garcia,2
Cristiano Migliorati,2
Jean Foray,2
Julian Miralles,2
Bernard Haenggeli,2
Lothar Neukirchner,2
Ermanno Bastianini,2
Alberto Puig,7
Udo Mark,2
Pierre Monneret,2
Neil Hodgson,2
Adrian Bosshard,2
Frederic Protat,2
Martin Craggill,2
Eugene Mcmanus,2
James Haydon,2
Jamie Robinson,2
Loris Capirossi,7
Norick Abe,7
Takuma Aoki,7
Brian Morrison,2
Scott Gray,2
Jim Filice,2
Juan Borja,7
Scott Russell,7
Chris Walker,2
Lee Pullan,2
Carlos Checa,7
Jean Michel Bayle,7
Tadayuki Okada,7
Kenny Roberts Jr,7
Florian Ferracci,2
Paul Young,7
Terry Rymer,7
Marcellino Lucchi,2
Doriano Romboni,7
Stephane Mertens,2
Nobuatsu Aoki,7
Sete Gibernau,7
Regis Laconi,7
Troy Corser,7
Jurgen Vd Goorbergh,7
Kirk Mccarthy,7
Anthony Gobert,7
Jurgen Fuchs,2
Francesco Monaco,2
Jay Vincent,7
Yukio Kagayama,7
Scott Smart,7
Fabio Carpani,7
Sebastien Gimbert,7
Matt Wait,7
Eskil Suter,7
Fernando Cristóbal,7
Max Biaggi,7
Ralf Waldmann,7
Garry Mccoy,7
John Mcguinness,7
Katsuaki Fujiwara,7
Craig Connell,7
Juan Pablo Gianini,7
Haruchika Aoki,7
Markus Ober,7
Michael Rutter,7
Mike Hale,7
Mark Willis,7
Tetsuya Harada,7
David De Gea,7
Steve Martin,7
Jose Luis Cardoso,7
Shane Norval,7
Akira Ryo,7
Yoshiteru Konishi,7
Valentino Rossi,9
Sebastien Legrelle,7
Paolo Tessari,7
Phil Giles,7
David Tomas,7
Leon Haslam,7
Johan Stigefelt,7
Barry Veneman,7
Tohru Ukawa,7
Shinya Nakano,7
Anthony West,7
Jarno Janssen,7
Olivier Jacque,7
Noriyuki Haga,7
Brendan Clarke,7
Daijiro Kato,7
John Hopkins,7
Pere Riba,7
Alex Hofmann,7
Wataru Yoshikawa,7
Andrew Pitt,7
Colin Edwards,9
Nicky Hayden,9
Ryuichi Kiyonari,7
Marco Melandri,9
Makoto Tamada,7
Troy Bayliss,7
Chris Burns,7
Michel Fabrizio,7
Ruben Xaus,7
Kurtis Roberts,7
Shane Byrne,7
James Ellison,9
Youichi Ui,9
Gregorio Lavilla,7
Franco Battaini,9
Roberto Rolfo,7
Toni Elias,9
David Checa,7
Chris Vermeulen,9
Casey Stoner,9
Daniel Pedrosa,9
Ivan Silva,9
Randy De Puniet,9
Sylvain Guintoli,9
Kousuke Akiyoshi,9
Fonsi Nieto,9
Chaz Davies,7
Roger Lee Hayden,7
Akira Yanagawa,7
Andrea Dovizioso,9
James Toseland,9
Jorge Lorenzo,9
Alex De Angelis,9
Ben Spies,9
Jamie Hacking,7
Mika Kallio,9
Niccolo Canepa,9
Yuki Takahashi,9
Gabor Talmacsi,9
Aleix Espargaro,9
Hiroshi Aoyama,9
Marco Simoncelli,9
Hector Barbera,9
Alvaro Bautista,9
Cal Crutchlow,9
Karel Abraham,9
Stefan Bradl,9
Danilo Petrucci,9
Michele Pirro,9
Yonny Hernandez,9
Mattia Pasini,9
Steve Rapp,9
Aaron Yates,9
David Salom,9
Katsuyuki Nakasuga,9
Marc Marquez,9
Michael Laverty,9
Lukas Pesek,9
Blake Young,9
Bradley Smith,9
Claudio Corti,9
Bryan Staring,9
Andrea Iannone,9
Javier Del Amor,9
Martin Bauer,9
Luca Scassa,9
Damian Cudlin,9
Scott Redding,9
Pol Espargaro,9
Broc Parkes,9
Mike Di Meglio,9
Leon Camier,9
Loris Baz,9
